Date,MaxT,MeanT,MinT,RH,AH,ph,sh,pm25,pm10,o3,no2,so2,co,Rain,V10mucomponentofwind_ind,V10mvcomponentofwind_ind,V2mdewpointtemperature_k,V2mtemperature_k,VLeafareaindexHIGH_ind,VLeafareaindexLOW_ind,VSurfacepressure_pa,VTotalprecipitation_m,WindSpeed_msminus1,WindDirection_deg,VaporPressure_kpa,SaturatedVaporPressure_kpa,AbsoluteHumidity_gmminus3,RelativeHumidity1_perc,RelativeHumidity2_perc,Cardiovascular disease,Chronic respiratory disease,Congenital Abnormalities,Diabetes mellitus,Digestive disease,Endocrine disorders,Factors influencing health status and contact with health services,Genitourinary disorders,Ill-defined diseases,Ill-defined injuries/accidents,Infectious and Parasitic Diseases,Intentional injuries,Malignant neoplasms,Maternal conditions,Mental disorders,Musculoskeletal disease,Neurological and sense disorders,Not Categorised,Nutritional deficiencies,Oral Diseases,Other neoplasms,Perinatal conditions,Respiratory Infection,Skin diseases,Unintentional injuries
2006-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.0,417.0,5.0,70.0,1042.0,147.0,137.0,493.0,1876.0,18.0,1306.0,144.0,95.0,26.0,40.0,534.0,594.0,103.0,31.0,63.0,11.0,103.0,1437.0,486.0,2870.0
2006-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.0,426.0,2.0,90.0,964.0,157.0,105.0,445.0,1740.0,35.0,1209.0,147.0,80.0,21.0,28.0,472.0,561.0,98.0,27.0,45.0,10.0,83.0,1370.0,460.0,2846.0
2006-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,482.0,5.0,90.0,924.0,173.0,105.0,430.0,1807.0,21.0,1115.0,144.0,72.0,27.0,25.0,523.0,558.0,103.0,25.0,43.0,9.0,57.0,1636.0,487.0,2959.0
2006-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.0,505.0,2.0,62.0,855.0,146.0,121.0,392.0,1813.0,32.0,1083.0,133.0,86.0,29.0,20.0,494.0,564.0,115.0,30.0,41.0,8.0,60.0,1785.0,479.0,2891.0
2006-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.0,576.0,9.0,85.0,1063.0,136.0,108.0,494.0,1905.0,22.0,1340.0,138.0,98.0,36.0,28.0,526.0,616.0,108.0,31.0,99.0,10.0,152.0,2244.0,643.0,2870.0
2006-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0,475.0,2.0,69.0,878.0,137.0,141.0,489.0,1851.0,24.0,1090.0,140.0,77.0,31.0,25.0,492.0,581.0,97.0,23.0,42.0,7.0,64.0,1656.0,481.0,2996.0
2006-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,485.0,8.0,80.0,1008.0,135.0,128.0,449.0,2004.0,17.0,1035.0,152.0,96.0,25.0,21.0,552.0,609.0,114.0,22.0,41.0,4.0,61.0,1822.0,475.0,2989.0
2006-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.0,397.0,5.0,65.0,938.0,148.0,125.0,460.0,1877.0,17.0,941.0,142.0,92.0,29.0,23.0,573.0,649.0,95.0,28.0,47.0,12.0,64.0,1747.0,513.0,3055.0
2006-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.0,440.0,6.0,67.0,921.0,128.0,130.0,471.0,1987.0,45.0,1039.0,168.0,83.0,22.0,27.0,591.0,631.0,103.0,21.0,43.0,11.0,46.0,1811.0,561.0,3068.0
2006-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,426.0,7.0,71.0,862.0,123.0,115.0,463.0,1993.0,38.0,1025.0,163.0,75.0,22.0,22.0,529.0,601.0,118.0,14.0,43.0,11.0,62.0,1593.0,469.0,3062.0
